portal,data_publicacao,titulo,url,crime_violento,arquivo_origem,data_coleta,categoria,tipo_principal,tipo_detalhado,gravidade,genero_vitima,idade_vitima,faixa_etaria
acritica,2025-07-29,Agente penitenciário é preso por estupro de presa algemada durante transferência,https://www.acritica.com/policia/agente-penitenciario-e-preso-por-estupro-de-presa-algemada-durante-transferencia-1.379711,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Violência Sexual,Estupro,Estupro consumado,extrema,indefinido,NA,idade não informada
acritica,2025-10-03,Agentes de trânsito são flagrados agredindo homem em Manaus,https://www.acritica.com/policia/agentes-de-transito-s-o-flagrados-agredindo-homem-em-manaus-1.385302,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,masculino,NA,idade não informada
acritica,2025-08-04,Agosto Lilás alerta para o combate à violência contra a mulher e reforça papel da denúncia,https://www.acritica.com/policia/agosto-lilas-alerta-para-o-combate-a-violencia-contra-a-mulher-e-reforca-papel-da-denuncia-1.380220,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,feminino,NA,idade não informada
acritica,2025-07-29,"Agressor alega autismo e claustrofobia após espancar namorada, mas especialistas rebatem",https://www.acritica.com/policia/agressor-alega-autismo-e-claustrofobia-apos-espancar-namorada-mas-especialistas-rebatem-1.379735,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-11-19,"ALE-AM autoriza novo empréstimo de R$ 1,5 bilhão à gestão Wilson Lima",https://www.acritica.com/policia/ale-am-autoriza-novo-emprestimo-de-r-1-5-bilh-o-a-gest-o-wilson-lima-1.389386,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2025-12-10,Aleam aprova orçamento de R$ 38 bilhões para o Amazonas de 2026,https://g1.globo.com/am/amazonas/noticia/2025/12/10/aleam-aprova-orcamento-de-r-38-bilhoes-para-o-amazonas-em-2025.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
emtempo,2025-11-13,Alerta de golpe: falsos benefícios habitacionais circulam em Manaus,https://emtempo.com.br/434754/policia/alerta-golpes-programas-habitacionais-manaus/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
emtempo,2025-12-01,Alerta em Manaus: 19 vítimas caem no golpe da venda de terrenos falsos,https://emtempo.com.br/437734/policia/alerta-em-manaus-19-vitimas-caem-no-golpe-da-venda-de-terrenos-falsos/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
emtempo,2025-12-17,"Aliado planejou morte de “Xuruca” para assumir liderança do CV em Manaus, diz polícia",https://emtempo.com.br/440433/policia/aliado-planejou-morte-de-xuruca-para-assumir-lideranca-do-cv-em-manaus-diz-policia/,TRUE,noticias_raw_emtempo_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
g1_amazonas,2025-12-10,Alive Orbe reúne 8 DJs e mais de 10 horas de música em universo 3D dentro de cúpula em Manaus,https://g1.globo.com/am/amazonas/role-amazonas/noticia/2025/12/10/alive-orbe-reune-8-djs-e-mais-de-10-horas-de-musica-em-universo-3d-dentro-de-cupula-em-manaus.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-05-29,Alvos da Operação Linhagem são suspeitos de desviar R$ 362 milhões em três anos,https://www.acritica.com/policia/alvos-da-operac-o-linhagem-s-o-suspeitos-de-desviar-r-362-milh-es-em-tres-anos-1.373716,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-07-30,"Amarrado e com sinais de tortura, homem é encontrado morto na Colônia Santo Antônio",https://www.acritica.com/policia/amarrado-e-com-sinais-de-tortura-homem-e-encontrado-morto-na-colonia-santo-antonio-1.379785,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,masculino,NA,idade não informada
acritica,2025-11-12,Amazonas atinge 36 toneladas de drogas apreendidas em 2025 e caminha para recorde histótico,https://www.acritica.com/policia/amazonas-atinge-36-toneladas-de-drogas-apreendidas-em-2025-e-caminha-para-recorde-histotico-1.388676,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
emtempo,2025-11-21,Amazonas aumenta apreensão de drogas com bases fluviais,https://emtempo.com.br/436145/policia/amazonas-apreensao-drogas-bases-fluviais/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-07-24,Amazonas é 2º estado da região Norte com mais mortes violentas intencionais,https://www.acritica.com/policia/amazonas-e-2-estado-da-regi-o-norte-com-mais-mortes-violentas-intencionais-1.379326,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
emtempo,2025-11-22,Amazonas é rota de entrada de cocaína do Peru e da Colômbia,https://emtempo.com.br/435878/policia/amazonas-e-rota-de-entrada-de-cocaina-do-peru-e-da-colombia/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-07-28,Amazonas inicia returno da Série B com jogo na Arena da Amazônia,https://www.acritica.com/policia/amazonas-inicia-returno-da-serie-b-com-jogo-na-arena-da-amazonia-1.379674,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-07-20,Amazonas lidera incineração de drogas no país e reafirma protagonismo nacional no combate ao tráfico,https://www.acritica.com/policia/amazonas-lidera-incinerac-o-de-drogas-no-pais-e-reafirma-protagonismo-nacional-no-combate-ao-trafico-1.378897,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Organizado,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,indefinido,NA,idade não informada
emtempo,2025-09-30,"Amazonas lidera ranking de redução nacional com menor índice de feminicídio, aponta MJSP",https://emtempo.com.br/427477/policia/amazonas-lidera-ranking-de-reducao-nacional-com-menor-indice-de-feminicidio-aponta-mjsp/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2025-12-30,Amazonas registra alta de 11% nos casos de vírus respiratórios em 2025,https://g1.globo.com/am/amazonas/noticia/2025/12/30/amazonas-registra-alta-de-11percent-nos-casos-de-virus-respiratorios-em-2025.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20260430.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2025-12-29,Amazonas registra mais de 35 mil casos de violência doméstica contra mulheres em 2025,https://g1.globo.com/am/amazonas/noticia/2025/12/29/amazonas-registra-mais-de-35-mil-casos-de-violencia-domestica-contra-mulheres-em-2025.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20251229.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,feminino,NA,idade não informada
emtempo,2025-12-09,Amazonas tem 8 criminosos entre os mais procurados do país; veja lista nacional,https://emtempo.com.br/439022/policia/ministerio-lanca-site-com-foragidos-mais-procurados-oito-alvos-sao-do-am/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
emtempo,2025-12-11,Amazonas tem reduções recordes no crime em 2025,https://emtempo.com.br/439516/policia/amazonas-reducoes-recordes-criminalidade-2025/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2026-01-01,Amazonenses pagaram mais de R$ 49 bilhões em impostos em 2025,https://g1.globo.com/am/amazonas/noticia/2026/01/01/amazonenses-pagaram-mais-de-r-46-bilhoes-em-impostos-em-2025.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20260430.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2025-12-29,"Amazônia Agro de domingo, 28 de dezembro de 2025",https://g1.globo.com/am/amazonas/amazonia-agro/playlist/amazonia-agro-deste-domingo-28-de-dezembro-de-2025.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20251229.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-11-16,Ameaças contra mulheres disparam e expõem rotina de violência no AM,https://www.acritica.com/policia/ameacas-contra-mulheres-disparam-e-exp-em-rotina-de-violencia-no-am-1.389041,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,feminino,NA,idade não informada
