titulo,tipo_principal,tipo_detalhado,gravidade,validado,tipo_corrigido,observacoes
Polícia Civil prende homem envolvido com roubo majorado em drogaria no bairro Santo Antônio,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
"Em Jutaí, PC prende dois homens por agredir um adolescente e roubar um cordão avaliado em R$ 1,2 mil",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Funcionários trancam suspeito durante assalto e ajudam na prisão em Manaus,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Polícia está procurando mulher que assassinou o ex-marido,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia divulga foto de homem suspeito de séries de furtos na zona centro-sul de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Blogueiro condenado a mais de 15 anos de prisão por estupro e roubo é preso em Manaus,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Ciúme motivou o assassinato de homem em Manaus; autor e mandante foram presos,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Vizinho invade casa de adolescente enquanto ela dormia e a estupra no interior do AM,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil divulga imagem de homem que desapareceu durante viagem de Porto Velho a Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Técnico de enfermagem preso por importunação sexual em hospital infantil será processado,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é executado com mais de 10 tiros e corpo é encontrado na Colônia Terra Nova,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"PC-AM e PMAM prendem três homens por organização criminosa, em Parintins",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Enfermeiro é preso por importunação sexual contra adolescente em hospital infantil de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia investiga execução de empresário colombiano em Rio Preto da Eva,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Sacola com droga avaliada em R$ 100 mil é encontrada em balsa no roadway,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mulher é resgatada de cárcere privado pelo marido em quitinete na zona sul,Sequestro/Cárcere Privado,Privação de liberdade com restrição,muito alta,NA,Sequestro/Cárcere Privado,NA
Polícia divulga imagem de homem procurado por diversos crimes em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
‘Messi’ é preso em flagrante vendendo drogas na zona leste de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Duplo homicídio: homens são executados em sorveteria na Compensa,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Após tiroteio, jovem de 23 anos é assassinado no Jorge Teixeira",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Jovem é morto a tiros ao estacionar carro com a companheira na zona Sul de Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Homem é morto com facada no pescoço em beco na zona Leste de Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Em Coari, PC-AM prende 25 pessoas ligadas ao crime organizado e por financiar pirataria no rio",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Mulher usa whatsapp para denunciar agressões sofridas por seu companheiro, que acaba preso em Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
